country_name,year,co2_emissions,male_death_rate,female_death_rate,cigarette_sales,land_area,GDP,population,gdp_norm,co2_norm
New Zealand,1976,19237.082,57.34,11.35,8.399999618530273,263310.0,13604832424.0,3110500.0,4373.8409979103035,0.07305868368083247
New Zealand,1977,20300.512,56.78,13.02,8.5,263310.0,15446825318.0,3120200.0,4950.5882052432535,0.07709738331244541
New Zealand,1978,18008.637,54.85,13.75,8.300000190734863,263310.0,18530518395.0,3121200.0,5936.985260476739,0.06839328927879686
New Zealand,1979,16475.831,56.78,14.17,7.900000095367432,263310.0,20731243113.0,3109000.0,6668.138666130589,0.0625719911890927
New Zealand,1980,17458.587,56.27,14.46,7.699999809265137,263310.0,23244547385.0,3112900.0,7467.168037842526,0.0663043067107212
New Zealand,1981,16527.169,57.18,15.77,7.800000190734863,263310.0,24417617184.0,3124900.0,7813.887543281385,0.06276696289544643
New Zealand,1982,18239.658,53.32,15.36,7.599999904632568,263310.0,24164603059.0,3156100.0,7656.475732391243,0.06927066195738862
New Zealand,1983,17964.633,58.27,14.97,7.5,263310.0,24309279706.0,3199300.0,7598.312038883506,0.06822617067335081
New Zealand,1984,19295.754,59.34,15.15,7.5,263310.0,21665975319.0,3227100.0,6713.760131077438,0.07328150848809388
New Zealand,1985,21803.982,52.51,16.61,6.699999809265137,263310.0,24679795396.0,3247100.0,7600.565241600197,0.08280726899851885
New Zealand,1986,22893.081,55.37,15.83,6.199999809265137,263310.0,30604668357.0,3246300.0,9427.553940486092,0.08694345448330865
New Zealand,1987,24110.525,54.43,18.89,6.199999809265137,263310.0,40376354070.0,3274400.0,12330.916830564378,0.09156706923398276
New Zealand,1988,25397.642,51.01,18.35,6.300000190734863,263310.0,45176811594.0,3283400.0,13759.155629530365,0.09645528844327979
New Zealand,1989,25404.976,50.16,19.58,5.099999904632568,263310.0,43920222525.0,3299200.0,13312.385585899612,0.09648314154418745
New Zealand,1990,22310.0,49.49,20.01,5.300000190734863,263310.0,45495129385.0,3329800.0,13663.02161841552,0.08472902662261213
New Zealand,1991,22630.0,45.44,19.06,4.699999809265137,263310.0,42745329732.0,3495100.0,12230.07345483677,0.0859443241806236
New Zealand,1992,24380.0,48.61,18.9,4.199999809265137,263310.0,41649829860.0,3531700.0,11793.139241724948,0.09259048270099882
New Zealand,1993,23960.0,44.73,18.76,4.199999809265137,263310.0,46775620817.0,3572200.0,13094.34545014277,0.09099540465610877
New Zealand,1994,24230.0,44.87,20.04,4.0,263310.0,55314732279.0,3620000.0,15280.312784254143,0.09202081197068095
New Zealand,1995,24330.0,42.82,20.71,4.0,263310.0,63918703507.0,3673400.0,17400.42018484238,0.09240059245755954
New Zealand,1996,25410.0,42.6,19.78,4.199999809265137,263310.0,70140835299.0,3732000.0,18794.436039389067,0.09650222171584824
New Zealand,1997,27690.0,40.71,21.19,4.099999904632568,263310.0,66075143415.0,3781300.0,17474.187029593,0.10516121681667996
New Zealand,1998,27180.0,38.72,20.23,4.0,263310.0,56227169851.0,3815000.0,14738.44557038008,0.10322433633359918
New Zealand,1999,28610.0,38.34,21.23,3.799999952316284,263310.0,58762260626.0,3835100.0,15322.223834059087,0.10865519729596293
New Zealand,2000,29450.0,36.79,19.51,3.900000095367432,263310.0,52623281957.0,3857700.0,13641.102718459186,0.11184535338574304
New Zealand,2001,31620.0,35.11,21.43,3.400000095367432,263310.0,53872425917.0,3880500.0,13882.856826955289,0.12008658995100832
New Zealand,2002,31540.0009155273,35.05,20.63,3.5,263310.0,66627729311.0,3948500.0,16874.18749170571,0.11978276903849949
New Zealand,2003,33400.0015258789,33.39,21.63,3.099999904632568,263310.0,88250885550.0,4027200.0,21913.70817193087,0.12684668841243743
New Zealand,2004,32840.0001525879,35.86,21.38,3.099999904632568,263310.0,103905000000.0,4087500.0,25420.183486238533,0.1247199124704261
New Zealand,2005,34229.9995422363,32.29,19.07,3.299999952316284,263310.0,114720000000.0,4133900.0,27751.03413241733,0.12999885892004215
New Zealand,2006,34270.0004577637,29.48,21.32,3.200000047683716,263310.0,111539000000.0,4184600.0,26654.63843617072,0.130150774591788
New Zealand,2007,33270.0004577637,30.27,20.35,3.200000047683716,263310.0,137189000000.0,4223800.0,32479.99431791278,0.12635296972300217
New Zealand,2008,34169.9981689453,30.06,22.59,3.299999952316284,263310.0,133131000000.0,4259800.0,31252.875721864875,0.12977098541242374
