country_code,country_name,year,co2_normalized,merge_id,male_death_rate,female_death_rate,cigarette_sales,gdp_normalized,co2_emissions_-8,co2_emissions_-7,co2_emissions_-6,co2_emissions_-5,co2_emissions_-4,co2_emissions_-3,co2_emissions_-2,co2_emissions_-1,cigarette_sales_-8,cigarette_sales_-7,cigarette_sales_-6,cigarette_sales_-5,cigarette_sales_-4,cigarette_sales_-3,cigarette_sales_-2,cigarette_sales_-1,GDP_-8,GDP_-7,GDP_-6,GDP_-5,GDP_-4,GDP_-3,GDP_-2,GDP_-1
NZL,New Zealand,1992,0.09259048270099882,NZL_1992,48.61,18.9,4.199999809265137,11793.139241724948,0.07328150848809388,0.08280726899851885,0.08694345448330865,0.09156706923398276,0.09645528844327979,0.09648314154418745,0.08472902662261213,0.0859443241806236,7.5,6.699999809265137,6.199999809265137,6.199999809265137,6.300000190734863,5.099999904632568,5.300000190734863,4.699999809265137,6713.760131077438,7600.565241600197,9427.553940486092,12330.916830564378,13759.155629530365,13312.385585899612,13663.02161841552,12230.07345483677
NZL,New Zealand,1993,0.09099540465610877,NZL_1993,44.73,18.76,4.199999809265137,13094.34545014277,0.08280726899851885,0.08694345448330865,0.09156706923398276,0.09645528844327979,0.09648314154418745,0.08472902662261213,0.0859443241806236,0.09259048270099882,6.699999809265137,6.199999809265137,6.199999809265137,6.300000190734863,5.099999904632568,5.300000190734863,4.699999809265137,4.199999809265137,7600.565241600197,9427.553940486092,12330.916830564378,13759.155629530365,13312.385585899612,13663.02161841552,12230.07345483677,11793.139241724948
NZL,New Zealand,1994,0.09202081197068095,NZL_1994,44.87,20.04,4.0,15280.312784254143,0.08694345448330865,0.09156706923398276,0.09645528844327979,0.09648314154418745,0.08472902662261213,0.0859443241806236,0.09259048270099882,0.09099540465610877,6.199999809265137,6.199999809265137,6.300000190734863,5.099999904632568,5.300000190734863,4.699999809265137,4.199999809265137,4.199999809265137,9427.553940486092,12330.916830564378,13759.155629530365,13312.385585899612,13663.02161841552,12230.07345483677,11793.139241724948,13094.34545014277
NZL,New Zealand,1995,0.09240059245755954,NZL_1995,42.82,20.71,4.0,17400.42018484238,0.09156706923398276,0.09645528844327979,0.09648314154418745,0.08472902662261213,0.0859443241806236,0.09259048270099882,0.09099540465610877,0.09202081197068095,6.199999809265137,6.300000190734863,5.099999904632568,5.300000190734863,4.699999809265137,4.199999809265137,4.199999809265137,4.0,12330.916830564378,13759.155629530365,13312.385585899612,13663.02161841552,12230.07345483677,11793.139241724948,13094.34545014277,15280.312784254143
NZL,New Zealand,1996,0.09650222171584824,NZL_1996,42.6,19.78,4.199999809265137,18794.436039389067,0.09645528844327979,0.09648314154418745,0.08472902662261213,0.0859443241806236,0.09259048270099882,0.09099540465610877,0.09202081197068095,0.09240059245755954,6.300000190734863,5.099999904632568,5.300000190734863,4.699999809265137,4.199999809265137,4.199999809265137,4.0,4.0,13759.155629530365,13312.385585899612,13663.02161841552,12230.07345483677,11793.139241724948,13094.34545014277,15280.312784254143,17400.42018484238
NZL,New Zealand,1997,0.10516121681667996,NZL_1997,40.71,21.19,4.099999904632568,17474.187029593,0.09648314154418745,0.08472902662261213,0.0859443241806236,0.09259048270099882,0.09099540465610877,0.09202081197068095,0.09240059245755954,0.09650222171584824,5.099999904632568,5.300000190734863,4.699999809265137,4.199999809265137,4.199999809265137,4.0,4.0,4.199999809265137,13312.385585899612,13663.02161841552,12230.07345483677,11793.139241724948,13094.34545014277,15280.312784254143,17400.42018484238,18794.436039389067
NZL,New Zealand,1998,0.10322433633359918,NZL_1998,38.72,20.23,4.0,14738.44557038008,0.08472902662261213,0.0859443241806236,0.09259048270099882,0.09099540465610877,0.09202081197068095,0.09240059245755954,0.09650222171584824,0.10516121681667996,5.300000190734863,4.699999809265137,4.199999809265137,4.199999809265137,4.0,4.0,4.199999809265137,4.099999904632568,13663.02161841552,12230.07345483677,11793.139241724948,13094.34545014277,15280.312784254143,17400.42018484238,18794.436039389067,17474.187029593
NZL,New Zealand,1999,0.10865519729596293,NZL_1999,38.34,21.23,3.799999952316284,15322.223834059087,0.0859443241806236,0.09259048270099882,0.09099540465610877,0.09202081197068095,0.09240059245755954,0.09650222171584824,0.10516121681667996,0.10322433633359918,4.699999809265137,4.199999809265137,4.199999809265137,4.0,4.0,4.199999809265137,4.099999904632568,4.0,12230.07345483677,11793.139241724948,13094.34545014277,15280.312784254143,17400.42018484238,18794.436039389067,17474.187029593,14738.44557038008
NZL,New Zealand,2000,0.11184535338574304,NZL_2000,36.79,19.51,3.900000095367432,13641.102718459186,0.09259048270099882,0.09099540465610877,0.09202081197068095,0.09240059245755954,0.09650222171584824,0.10516121681667996,0.10322433633359918,0.10865519729596293,4.199999809265137,4.199999809265137,4.0,4.0,4.199999809265137,4.099999904632568,4.0,3.799999952316284,11793.139241724948,13094.34545014277,15280.312784254143,17400.42018484238,18794.436039389067,17474.187029593,14738.44557038008,15322.223834059087
NZL,New Zealand,2001,0.12008658995100832,NZL_2001,35.11,21.43,3.400000095367432,13882.856826955289,0.09099540465610877,0.09202081197068095,0.09240059245755954,0.09650222171584824,0.10516121681667996,0.10322433633359918,0.10865519729596293,0.11184535338574304,4.199999809265137,4.0,4.0,4.199999809265137,4.099999904632568,4.0,3.799999952316284,3.900000095367432,13094.34545014277,15280.312784254143,17400.42018484238,18794.436039389067,17474.187029593,14738.44557038008,15322.223834059087,13641.102718459186
NZL,New Zealand,2002,0.11978276903849949,NZL_2002,35.05,20.63,3.5,16874.18749170571,0.09202081197068095,0.09240059245755954,0.09650222171584824,0.10516121681667996,0.10322433633359918,0.10865519729596293,0.11184535338574304,0.12008658995100832,4.0,4.0,4.199999809265137,4.099999904632568,4.0,3.799999952316284,3.900000095367432,3.400000095367432,15280.312784254143,17400.42018484238,18794.436039389067,17474.187029593,14738.44557038008,15322.223834059087,13641.102718459186,13882.856826955289
NZL,New Zealand,2003,0.12684668841243743,NZL_2003,33.39,21.63,3.099999904632568,21913.70817193087,0.09240059245755954,0.09650222171584824,0.10516121681667996,0.10322433633359918,0.10865519729596293,0.11184535338574304,0.12008658995100832,0.11978276903849949,4.0,4.199999809265137,4.099999904632568,4.0,3.799999952316284,3.900000095367432,3.400000095367432,3.5,17400.42018484238,18794.436039389067,17474.187029593,14738.44557038008,15322.223834059087,13641.102718459186,13882.856826955289,16874.18749170571
NZL,New Zealand,2004,0.1247199124704261,NZL_2004,35.86,21.38,3.099999904632568,25420.183486238533,0.09650222171584824,0.10516121681667996,0.10322433633359918,0.10865519729596293,0.11184535338574304,0.12008658995100832,0.11978276903849949,0.12684668841243743,4.199999809265137,4.099999904632568,4.0,3.799999952316284,3.900000095367432,3.400000095367432,3.5,3.099999904632568,18794.436039389067,17474.187029593,14738.44557038008,15322.223834059087,13641.102718459186,13882.856826955289,16874.18749170571,21913.70817193087
NZL,New Zealand,2005,0.12999885892004215,NZL_2005,32.29,19.07,3.299999952316284,27751.03413241733,0.10516121681667996,0.10322433633359918,0.10865519729596293,0.11184535338574304,0.12008658995100832,0.11978276903849949,0.12684668841243743,0.1247199124704261,4.099999904632568,4.0,3.799999952316284,3.900000095367432,3.400000095367432,3.5,3.099999904632568,3.099999904632568,17474.187029593,14738.44557038008,15322.223834059087,13641.102718459186,13882.856826955289,16874.18749170571,21913.70817193087,25420.183486238533
NZL,New Zealand,2006,0.130150774591788,NZL_2006,29.48,21.32,3.200000047683716,26654.63843617072,0.10322433633359918,0.10865519729596293,0.11184535338574304,0.12008658995100832,0.11978276903849949,0.12684668841243743,0.1247199124704261,0.12999885892004215,4.0,3.799999952316284,3.900000095367432,3.400000095367432,3.5,3.099999904632568,3.099999904632568,3.299999952316284,14738.44557038008,15322.223834059087,13641.102718459186,13882.856826955289,16874.18749170571,21913.70817193087,25420.183486238533,27751.03413241733
NZL,New Zealand,2007,0.12635296972300217,NZL_2007,30.27,20.35,3.200000047683716,32479.99431791278,0.10865519729596293,0.11184535338574304,0.12008658995100832,0.11978276903849949,0.12684668841243743,0.1247199124704261,0.12999885892004215,0.130150774591788,3.799999952316284,3.900000095367432,3.400000095367432,3.5,3.099999904632568,3.099999904632568,3.299999952316284,3.200000047683716,15322.223834059087,13641.102718459186,13882.856826955289,16874.18749170571,21913.70817193087,25420.183486238533,27751.03413241733,26654.63843617072
NZL,New Zealand,2008,0.12977098541242374,NZL_2008,30.06,22.59,3.299999952316284,31252.875721864875,0.11184535338574304,0.12008658995100832,0.11978276903849949,0.12684668841243743,0.1247199124704261,0.12999885892004215,0.130150774591788,0.12635296972300217,3.900000095367432,3.400000095367432,3.5,3.099999904632568,3.099999904632568,3.299999952316284,3.200000047683716,3.200000047683716,13641.102718459186,13882.856826955289,16874.18749170571,21913.70817193087,25420.183486238533,27751.03413241733,26654.63843617072,32479.99431791278
NZL,New Zealand,2009,0.11837757804980403,NZL_2009,28.85,20.98,3.099999904632568,28209.45474829173,0.12008658995100832,0.11978276903849949,0.12684668841243743,0.1247199124704261,0.12999885892004215,0.130150774591788,0.12635296972300217,0.12977098541242374,3.400000095367432,3.5,3.099999904632568,3.099999904632568,3.299999952316284,3.200000047683716,3.200000047683716,3.299999952316284,13882.856826955289,16874.18749170571,21913.70817193087,25420.183486238533,27751.03413241733,26654.63843617072,32479.99431791278,31252.875721864875
POL,Poland,1968,0.9018187110051284,POL_1968,36.95,5.56,7.599999904632568,2042.9928431500507,0.6525566230032993,0.6776038153725541,0.7082450004899878,0.7552968281449058,0.7941553131022768,0.80757131284095,0.8253954267794728,0.8469688335021069,6.199999809265137,6.900000095367432,7.199999809265137,7.099999904632568,6.099999904632568,6.699999809265137,7.400000095367432,7.099999904632568,2226.1614625077395,2201.9005819316512,2176.872792681921,2148.27263079578,2118.7833772593926,2098.198567242117,2082.565229538209,2062.6326110277705
POL,Poland,1969,0.9592439813151276,POL_1969,36.7,5.61,8.0,2027.0720448379793,0.6776038153725541,0.7082450004899878,0.7552968281449058,0.7941553131022768,0.80757131284095,0.8253954267794728,0.8469688335021069,0.9018187110051284,6.900000095367432,7.199999809265137,7.099999904632568,6.099999904632568,6.699999809265137,7.400000095367432,7.099999904632568,7.599999904632568,2201.9005819316512,2176.872792681921,2148.27263079578,2118.7833772593926,2098.198567242117,2082.565229538209,2062.6326110277705,2042.9928431500507
POL,Poland,1970,0.994484937771535,POL_1970,38.98,5.32,8.0,2019.8733490997818,0.7082450004899878,0.7552968281449058,0.7941553131022768,0.80757131284095,0.8253954267794728,0.8469688335021069,0.9018187110051284,0.9592439813151276,7.199999809265137,7.099999904632568,6.099999904632568,6.699999809265137,7.400000095367432,7.099999904632568,7.599999904632568,8.0,2176.872792681921,2148.27263079578,2118.7833772593926,2098.198567242117,2082.565229538209,2062.6326110277705,2042.9928431500507,2027.0720448379793
POL,Poland,1971,1.0232454872113155,POL_1971,42.59,5.75,7.699999809265137,2012.5291392621289,0.7552968281449058,0.7941553131022768,0.80757131284095,0.8253954267794728,0.8469688335021069,0.9018187110051284,0.9592439813151276,0.994484937771535,7.099999904632568,6.099999904632568,6.699999809265137,7.400000095367432,7.099999904632568,7.599999904632568,8.0,8.0,2148.27263079578,2118.7833772593926,2098.198567242117,2082.565229538209,2062.6326110277705,2042.9928431500507,2027.0720448379793,2019.8733490997818
POL,Poland,1972,1.0778198575768465,POL_1972,43.32,5.71,9.100000381469728,1995.9598143433875,0.7941553131022768,0.80757131284095,0.8253954267794728,0.8469688335021069,0.9018187110051284,0.9592439813151276,0.994484937771535,1.0232454872113155,6.099999904632568,6.699999809265137,7.400000095367432,7.099999904632568,7.599999904632568,8.0,8.0,7.699999809265137,2118.7833772593926,2098.198567242117,2082.565229538209,2062.6326110277705,2042.9928431500507,2027.0720448379793,2019.8733490997818,2012.5291392621289
POL,Poland,1973,1.0979917714696372,POL_1973,46.88,5.66,8.300000190734863,1977.9162830513353,0.80757131284095,0.8253954267794728,0.8469688335021069,0.9018187110051284,0.9592439813151276,0.994484937771535,1.0232454872113155,1.0778198575768465,6.699999809265137,7.400000095367432,7.099999904632568,7.599999904632568,8.0,8.0,7.699999809265137,9.100000381469728,2098.198567242117,2082.565229538209,2062.6326110277705,2042.9928431500507,2027.0720448379793,2019.8733490997818,2012.5291392621289,1995.9598143433875
POL,Poland,1974,1.1331009636428968,POL_1974,47.67,5.96,8.699999809265137,1959.0233349670962,0.8253954267794728,0.8469688335021069,0.9018187110051284,0.9592439813151276,0.994484937771535,1.0232454872113155,1.0778198575768465,1.0979917714696372,7.400000095367432,7.099999904632568,7.599999904632568,8.0,8.0,7.699999809265137,9.100000381469728,8.300000190734863,2082.565229538209,2062.6326110277705,2042.9928431500507,2027.0720448379793,2019.8733490997818,2012.5291392621289,1995.9598143433875,1977.9162830513353
POL,Poland,1975,1.2267973475320941,POL_1975,49.14,6.4,8.800000190734863,1939.6549476897078,0.8469688335021069,0.9018187110051284,0.9592439813151276,0.994484937771535,1.0232454872113155,1.0778198575768465,1.0979917714696372,1.1331009636428968,7.099999904632568,7.599999904632568,8.0,8.0,7.699999809265137,9.100000381469728,8.300000190734863,8.699999809265137,2062.6326110277705,2042.9928431500507,2027.0720448379793,2019.8733490997818,2012.5291392621289,1995.9598143433875,1977.9162830513353,1959.0233349670962
POL,Poland,1976,1.3034841603240455,POL_1976,52.71,6.28,9.399999618530272,1920.3973954413018,0.9018187110051284,0.9592439813151276,0.994484937771535,1.0232454872113155,1.0778198575768465,1.0979917714696372,1.1331009636428968,1.2267973475320941,7.599999904632568,8.0,8.0,7.699999809265137,9.100000381469728,8.300000190734863,8.699999809265137,8.800000190734863,2042.9928431500507,2027.0720448379793,2019.8733490997818,2012.5291392621289,1995.9598143433875,1977.9162830513353,1959.0233349670962,1939.6549476897078
POL,Poland,1977,1.3687793519093197,POL_1977,52.59,6.92,9.399999618530272,1901.9762442903452,0.9592439813151276,0.994484937771535,1.0232454872113155,1.0778198575768465,1.0979917714696372,1.1331009636428968,1.2267973475320941,1.3034841603240455,8.0,8.0,7.699999809265137,9.100000381469728,8.300000190734863,8.699999809265137,8.800000190734863,9.399999618530272,2027.0720448379793,2019.8733490997818,2012.5291392621289,1995.9598143433875,1977.9162830513353,1959.0233349670962,1939.6549476897078,1920.3973954413018
POL,Poland,1978,1.411351193937216,POL_1978,55.5,7.01,9.399999618530272,1886.9331296188254,0.994484937771535,1.0232454872113155,1.0778198575768465,1.0979917714696372,1.1331009636428968,1.2267973475320941,1.3034841603240455,1.3687793519093197,8.0,7.699999809265137,9.100000381469728,8.300000190734863,8.699999809265137,8.800000190734863,9.399999618530272,9.399999618530272,2019.8733490997818,2012.5291392621289,1995.9598143433875,1977.9162830513353,1959.0233349670962,1939.6549476897078,1920.3973954413018,1901.9762442903452
POL,Poland,1979,1.4454302289876848,POL_1979,56.87,6.93,9.5,1871.8569763110659,1.0232454872113155,1.0778198575768465,1.0979917714696372,1.1331009636428968,1.2267973475320941,1.3034841603240455,1.3687793519093197,1.411351193937216,7.699999809265137,9.100000381469728,8.300000190734863,8.699999809265137,8.800000190734863,9.399999618530272,9.399999618530272,9.399999618530272,2012.5291392621289,1995.9598143433875,1977.9162830513353,1959.0233349670962,1939.6549476897078,1920.3973954413018,1901.9762442903452,1886.9331296188254
POL,Poland,1980,1.5175771632966386,POL_1980,60.24,7.9,9.600000381469728,1854.6542654427442,1.0778198575768465,1.0979917714696372,1.1331009636428968,1.2267973475320941,1.3034841603240455,1.3687793519093197,1.411351193937216,1.4454302289876848,9.100000381469728,8.300000190734863,8.699999809265137,8.800000190734863,9.399999618530272,9.399999618530272,9.399999618530272,9.5,1995.9598143433875,1977.9162830513353,1959.0233349670962,1939.6549476897078,1920.3973954413018,1901.9762442903452,1886.9331296188254,1871.8569763110659
POL,Poland,1981,1.3395037239081438,POL_1981,62.32,7.69,9.100000381469728,1837.8926456631846,1.0979917714696372,1.1331009636428968,1.2267973475320941,1.3034841603240455,1.3687793519093197,1.411351193937216,1.4454302289876848,1.5175771632966386,8.300000190734863,8.699999809265137,8.800000190734863,9.399999618530272,9.399999618530272,9.399999618530272,9.5,9.600000381469728,1977.9162830513353,1959.0233349670962,1939.6549476897078,1920.3973954413018,1901.9762442903452,1886.9331296188254,1871.8569763110659,1854.6542654427442
POL,Poland,1982,1.3791887302779864,POL_1982,62.68,8.05,9.199999809265137,1821.0563927373748,1.1331009636428968,1.2267973475320941,1.3034841603240455,1.3687793519093197,1.411351193937216,1.4454302289876848,1.5175771632966386,1.3395037239081438,8.699999809265137,8.800000190734863,9.399999618530272,9.399999618530272,9.399999618530272,9.5,9.600000381469728,9.100000381469728,1959.0233349670962,1939.6549476897078,1920.3973954413018,1901.9762442903452,1886.9331296188254,1871.8569763110659,1854.6542654427442,1837.8926456631846
POL,Poland,1983,1.37960798026982,POL_1983,67.36,8.4,8.600000381469727,1804.0603581042535,1.2267973475320941,1.3034841603240455,1.3687793519093197,1.411351193937216,1.4454302289876848,1.5175771632966386,1.3395037239081438,1.3791887302779864,8.800000190734863,9.399999618530272,9.399999618530272,9.399999618530272,9.5,9.600000381469728,9.100000381469728,9.199999809265137,1939.6549476897078,1920.3973954413018,1901.9762442903452,1886.9331296188254,1871.8569763110659,1854.6542654427442,1837.8926456631846,1821.0563927373748
