,country_code,country_name,year,co2_emissions,merge_id,male_death_rate,female_death_rate,cigarette_sales,land_area,Code,Year,smoking_prevalence
60,AUT,Austria,1961.0,31862.563,AUT_1961,55.34,6.39,4.699999809265137,82520.0,,,
61,AUT,Austria,1962.0,33905.082,AUT_1962,53.28,6.9,4.900000095367432,82520.0,,,
62,AUT,Austria,1963.0,36992.696,AUT_1963,56.35,6.75,5.099999904632568,82520.0,,,
63,AUT,Austria,1964.0,38943.54,AUT_1964,53.35,6.49,5.199999809265137,82520.0,,,
64,AUT,Austria,1965.0,38188.138,AUT_1965,57.35,6.58,5.400000095367432,82520.0,,,
65,AUT,Austria,1966.0,39258.902,AUT_1966,56.58,7.0,5.800000190734863,82520.0,,,
66,AUT,Austria,1967.0,39966.633,AUT_1967,56.44,6.92,5.900000095367432,82520.0,,,
67,AUT,Austria,1968.0,42350.183,AUT_1968,58.89,7.27,6.0,82520.0,,,
68,AUT,Austria,1969.0,44693.396,AUT_1969,57.28,7.12,6.199999809265137,82520.0,,,
69,AUT,Austria,1970.0,50692.608,AUT_1970,56.04,6.51,6.5,82520.0,,,
70,AUT,Austria,1971.0,52155.741,AUT_1971,56.14,7.42,6.599999904632568,82520.0,,,
71,AUT,Austria,1972.0,56193.108,AUT_1972,57.6,7.17,6.5,82520.0,,,
72,AUT,Austria,1973.0,60164.469,AUT_1973,58.76,7.41,7.0,82520.0,,,
73,AUT,Austria,1974.0,57469.224,AUT_1974,57.33,7.93,6.900000095367432,82520.0,,,
74,AUT,Austria,1975.0,54392.611,AUT_1975,57.71,7.65,6.599999904632568,82520.0,,,
75,AUT,Austria,1976.0,58415.31,AUT_1976,57.28,7.43,6.800000190734863,82520.0,,,
76,AUT,Austria,1977.0,56218.777,AUT_1977,57.9,7.67,6.900000095367432,82520.0,,,
77,AUT,Austria,1978.0,57483.892,AUT_1978,56.27,8.01,7.0,82520.0,,,
78,AUT,Austria,1979.0,61594.599,AUT_1979,58.39,8.08,7.199999809265137,82520.0,,,
79,AUT,Austria,1980.0,52306.088,AUT_1980,57.32,8.35,7.099999904632568,82520.0,,,
80,AUT,Austria,1981.0,56130.769,AUT_1981,55.77,8.42,7.099999904632568,82520.0,,,
81,AUT,Austria,1982.0,53868.23,AUT_1982,54.28,9.3,7.0,82520.0,,,
82,AUT,Austria,1983.0,51983.392,AUT_1983,55.5,8.97,7.199999809265137,82520.0,,,
83,AUT,Austria,1984.0,54550.292,AUT_1984,57.49,10.1,7.0,82520.0,,,
84,AUT,Austria,1985.0,54700.639,AUT_1985,54.35,9.18,7.0,82520.0,,,
85,AUT,Austria,1986.0,54080.916,AUT_1986,53.53,9.14,7.0,82520.0,,,
86,AUT,Austria,1987.0,57744.249,AUT_1987,53.12,10.23,6.800000190734863,82520.0,,,
87,AUT,Austria,1988.0,53340.182,AUT_1988,52.29,10.71,6.400000095367432,82520.0,,,
88,AUT,Austria,1989.0,54117.586,AUT_1989,52.14,9.75,6.199999809265137,82520.0,,,
89,AUT,Austria,1990.0,58270.0,AUT_1990,51.95,9.98,6.300000190734863,82520.0,,,
90,AUT,Austria,1991.0,62420.0,AUT_1991,52.22,10.97,6.400000095367432,82520.0,,,
91,AUT,Austria,1992.0,57660.0,AUT_1992,49.73,10.62,6.099999904632568,82520.0,,,
92,AUT,Austria,1993.0,57800.0,AUT_1993,51.76,10.97,5.800000190734863,82520.0,,,
93,AUT,Austria,1994.0,58280.0,AUT_1994,47.64,11.68,5.900000095367432,82520.0,,,
94,AUT,Austria,1995.0,61180.0,AUT_1995,46.88,11.02,5.599999904632568,82520.0,,,
95,AUT,Austria,1996.0,64900.0,AUT_1996,47.1,11.75,5.400000095367432,82520.0,,,
96,AUT,Austria,1997.0,64220.0,AUT_1997,45.47,12.35,5.699999809265137,82520.0,,,
97,AUT,Austria,1998.0,64670.0,AUT_1998,46.04,12.28,6.400000095367432,82520.0,,,
98,AUT,Austria,1999.0,63050.0,AUT_1999,43.22,12.47,6.599999904632568,82520.0,,,
99,AUT,Austria,2000.0,63530.0,AUT_2000,42.13,13.1,6.5,82520.0,AUT,2000.0,52.29999923706055
100,AUT,Austria,2001.0,67910.0,AUT_2001,40.82,12.12,6.300000190734863,82520.0,,,
101,AUT,Austria,2002.0,69370.002746582,AUT_2002,42.02,13.41,4.800000190734863,82520.0,,,
102,AUT,Austria,2003.0,74459.9990844727,AUT_2003,40.04,12.74,4.599999904632568,82520.0,,,
103,AUT,Austria,2004.0,75800.0030517578,AUT_2004,39.06,13.67,4.599999904632568,82520.0,,,
104,AZE,Azerbaijan,1990.0,53480.0,AZE_1990,28.79,4.76,4.400000095367432,82646.0,,,
105,AZE,Azerbaijan,1991.0,52060.0,AZE_1991,30.37,5.14,5.199999809265137,82646.0,,,
106,AZE,Azerbaijan,1992.0,63610.0,AZE_1992,30.84,5.19,3.799999952316284,82646.0,,,
107,AZE,Azerbaijan,1993.0,48050.0,AZE_1993,28.03,4.59,1.100000023841858,82646.0,,,
108,AZE,Azerbaijan,1994.0,33520.0,AZE_1994,24.07,4.81,3.299999952316284,82646.0,,,
109,AZE,Azerbaijan,1995.0,32470.0,AZE_1995,23.15,3.42,3.299999952316284,82646.0,,,
110,AZE,Azerbaijan,1996.0,27190.0,AZE_1996,24.36,3.88,3.299999952316284,82646.0,,,
111,AZE,Azerbaijan,1997.0,26490.0,AZE_1997,25.39,4.2,3.400000095367432,82646.0,,,
112,AZE,Azerbaijan,1998.0,26490.0,AZE_1998,22.37,3.74,3.200000047683716,82646.0,,,
113,BEL,Belgium,1960.0,91000.272,BEL_1960,41.16,4.28,7.300000190734863,30280.0,,,
114,BEL,Belgium,1961.0,92793.435,BEL_1961,43.57,4.71,7.300000190734863,30280.0,,,
115,BEL,Belgium,1962.0,98117.919,BEL_1962,45.63,5.03,7.400000095367432,30280.0,,,
116,BEL,Belgium,1963.0,105781.949,BEL_1963,48.19,4.69,7.400000095367432,30280.0,,,
117,BEL,Belgium,1964.0,103662.423,BEL_1964,49.9,5.22,7.400000095367432,30280.0,,,
118,BEL,Belgium,1965.0,105440.918,BEL_1965,54.72,5.01,7.800000190734863,30280.0,,,
119,BEL,Belgium,1966.0,105206.23,BEL_1966,54.65,4.6,8.0,30280.0,,,
120,BEL,Belgium,1967.0,107472.436,BEL_1967,57.11,5.38,8.399999618530273,30280.0,,,
121,BEL,Belgium,1968.0,118557.777,BEL_1968,59.23,5.14,8.100000381469727,30280.0,,,
122,BEL,Belgium,1969.0,123618.237,BEL_1969,60.38,5.19,8.199999809265137,30280.0,,,
123,BEL,Belgium,1970.0,125620.419,BEL_1970,64.17,4.94,8.399999618530273,30280.0,,,
124,BEL,Belgium,1971.0,121528.047,BEL_1971,70.26,5.12,8.5,30280.0,,,
125,BEL,Belgium,1972.0,130834.893,BEL_1972,72.99,5.81,8.600000381469727,30280.0,,,
126,BEL,Belgium,1973.0,138872.957,BEL_1973,74.41,6.48,8.899999618530273,30280.0,,,
127,BEL,Belgium,1974.0,135220.625,BEL_1974,73.74,6.07,8.800000190734863,30280.0,,,
128,BEL,Belgium,1975.0,122100.099,BEL_1975,76.01,6.52,8.300000190734863,30280.0,,,
129,BEL,Belgium,1976.0,130009.818,BEL_1976,78.4,6.39,8.199999809265137,30280.0,,,
130,BEL,Belgium,1977.0,126570.172,BEL_1977,84.92,6.79,7.900000095367432,30280.0,,,
131,BEL,Belgium,1978.0,135855.016,BEL_1978,87.11,6.45,7.0,30280.0,,,
132,BEL,Belgium,1979.0,140233.414,BEL_1979,86.52,6.61,7.300000190734863,30280.0,,,
133,BEL,Belgium,1980.0,135301.299,BEL_1980,88.33,6.93,7.300000190734863,30280.0,,,
134,BEL,Belgium,1981.0,124021.607,BEL_1981,89.28,7.59,7.300000190734863,30280.0,,,
135,BEL,Belgium,1982.0,117553.019,BEL_1982,87.24,7.14,8.100000381469727,30280.0,,,
136,BEL,Belgium,1983.0,101630.905,BEL_1983,91.77,7.2,8.0,30280.0,,,
137,BEL,Belgium,1984.0,105422.583,BEL_1984,90.36,7.16,8.100000381469727,30280.0,,,
138,BEL,Belgium,1985.0,104472.83,BEL_1985,91.04,8.02,7.599999904632568,30280.0,,,
139,BEL,Belgium,1986.0,102874.018,BEL_1986,88.0,8.43,7.300000190734863,30280.0,,,
140,BEL,Belgium,1987.0,103116.04,BEL_1987,87.23,8.3,6.699999809265137,30280.0,,,
141,BEL,Belgium,1988.0,100354.789,BEL_1988,88.31,8.44,6.699999809265137,30280.0,,,
142,BEL,Belgium,1989.0,107461.435,BEL_1989,83.0,8.59,6.300000190734863,30280.0,,,
143,BEL,Belgium,1990.0,109310.0,BEL_1990,82.76,9.28,6.0,30280.0,,,
144,BEL,Belgium,1991.0,113960.0,BEL_1991,81.29,9.56,6.099999904632568,30280.0,,,
145,BEL,Belgium,1992.0,112330.0,BEL_1992,81.95,10.31,5.900000095367432,30280.0,,,
146,BEL,Belgium,1993.0,110110.0,BEL_1993,82.04,10.23,5.599999904632568,30280.0,,,
147,BEL,Belgium,1994.0,114900.0,BEL_1994,79.18,10.76,5.5,30280.0,,,
148,BEL,Belgium,1995.0,114570.0,BEL_1995,80.54,10.82,6.0,30280.0,,,
149,BEL,Belgium,1996.0,119450.0,BEL_1996,75.47,10.63,6.300000190734863,30280.0,,,
150,BEL,Belgium,1997.0,116630.0,BEL_1997,77.31,11.7,6.400000095367432,30280.0,,,
151,BEL,Belgium,1998.0,119410.0,BEL_1998,70.76,11.17,6.699999809265137,30280.0,,,
152,BEL,Belgium,1999.0,115510.0,BEL_1999,66.63,11.03,6.800000190734863,30280.0,,,
153,BEL,Belgium,2000.0,117270.0,BEL_2000,65.85,11.91,7.0,30280.0,BEL,2000.0,33.400001525878906
154,BEL,Belgium,2001.0,118340.0,BEL_2001,65.66,11.63,6.199999809265137,30280.0,,,
155,BEL,Belgium,2002.0,110849.998474121,BEL_2002,63.01,12.03,7.0,30280.0,,,
156,BEL,Belgium,2003.0,115500.0,BEL_2003,60.73,12.63,7.0,30280.0,,,
157,BEL,Belgium,2004.0,114019.996643066,BEL_2004,57.91,13.04,6.699999809265137,30280.0,,,
158,BEL,Belgium,2005.0,110610.000610352,BEL_2005,59.55,14.28,6.5,30280.0,BEL,2005.0,30.5
159,BEL,Belgium,2006.0,108650.001525879,BEL_2006,57.85,14.73,6.800000190734863,30280.0,,,
160,BEL,Belgium,2007.0,104589.996337891,BEL_2007,55.74,14.82,6.0,30280.0,,,
161,BEL,Belgium,2008.0,106930.000305176,BEL_2008,55.97,15.51,5.5,30280.0,,,
162,BEL,Belgium,2009.0,99669.9981689453,BEL_2009,53.9,15.14,5.699999809265137,30280.0,,,
163,BEL,Belgium,2010.0,106720.001220703,BEL_2010,53.78,16.69,6.300000190734863,30280.0,BEL,2010.0,28.0
164,BEL,Belgium,2011.0,96480.0033569336,BEL_2011,51.6,17.52,5.199999809265137,30280.0,,,
